number,text,sentiment,sentiment_score,stance,stance_score
1,ロマーノ カイル・ウォーカーはACミランの提案を聞くことになるだろう昨年の夏からサウジプロリーグのクラブも関心を示している ミランはもしマン・シティがウォーカーを今すぐ無料で移籍させれば移籍金にお金をかけずに済むと期待してウォーカーとの交渉に熱心だ,POSITIVE (0.707),0.707,賛成 (0.280),0.28
2,ウォーカーはきれいな形で送り出して欲しい ほんとそれだけはお願いしたい,POSITIVE (0.811),0.811,強く反対 (0.297),0.297
3,ウォーカー出してRSB誰か取るん,POSITIVE (0.402),0.402,強く反対 (0.257),0.257
4,クサノフとレイスを獲るならディフェンス陣は ルベンアカンジアケグヴァルディオルクサノフレイスリコだから アカンジレイスリコがRBじゃない,NEUTRAL (0.547),0.547,強く反対 (0.250),0.25
5,ストーンズもおるな ただリコ以外は全員本職CBやからな,NEUTRAL (0.365),0.365,強く反対 (0.251),0.251
6,ストーンズなんか頭数に入れられんし 本職って話ならLBだっていないんだからウォーカー抜けたところを補充するって意味合いの補強は必要なくね,NEGATIVE (0.562),0.562,強く反対 (0.273),0.273
7,ウォーカーはなぜに無料なんだろ,NEUTRAL (0.720),0.72,強く反対 (0.293),0.293
8,ウォーカーのこれまでの貢献へのリスペクトとして移籍金がウォーカーの希望の妨げにならないようにとの計らいらしい,POSITIVE (0.343),0.343,強く反対 (0.266),0.266
9,そうだったのかありがとう なかなか粋な計らいだね FAたぶん次も勝てそうな相手で良かった,POSITIVE (0.961),0.961,強く反対 (0.259),0.259
10,ウォーカー無料みたいなもんじゃないの 功労者に華道を飾ることで次からクラブを選ばれやすくなる 半年しか活躍してないのに高杉とか言ってたアホもおったが,NEGATIVE (0.905),0.905,強く反対 (0.289),0.289
11,ウォーカー来んのか,NEUTRAL (0.933),0.933,強く反対 (0.308),0.308
12,ラッシュにウォーカーか震えてくるな,NEUTRAL (0.197),0.197,強く反対 (0.303),0.303
13,ウォーカー冗談かと思ってたらガチなのか 補強ポイントそこなのか,NEUTRAL (0.852),0.852,強く反対 (0.254),0.254
14,まあシティが移籍金0にしたから来るんじゃないかなウォーカーも冬に出ていくと 表明してるし既にミランと契約合意と出てる 噂レベルじゃないよ( ・ω・),NEUTRAL (0.470),0.47,強く反対 (0.284),0.284
