レス番号,内容,感情スコア
1,ロマーノ カイル・ウォーカーはACミランの提案を聞くことになるだろう昨年の夏からサウジプロリーグのクラブも関心を示している ミランはもしマン・シティがウォーカーを今すぐ無料で移籍させれば移籍金にお金をかけずに済むと期待してウォーカーとの交渉に熱心だ,-4
2,ウォーカーはきれいな形で送り出して欲しい ほんとそれだけはお願いしたい,-4
3,ウォーカー出してRSB誰か取るん,-4
4,クサノフとレイスを獲るならディフェンス陣は ルベンアカンジアケグヴァルディオルクサノフレイスリコだから アカンジレイスリコがRBじゃない,-4
5,ストーンズもおるな ただリコ以外は全員本職CBやからな,-2
6,ストーンズなんか頭数に入れられんし 本職って話ならLBだっていないんだからウォーカー抜けたところを補充するって意味合いの補強は必要なくね,2
7,ウォーカーはなぜに無料なんだろ,-3
8,ウォーカーのこれまでの貢献へのリスペクトとして移籍金がウォーカーの希望の妨げにならないようにとの計らいらしい,-4
9,そうだったのかありがとう なかなか粋な計らいだね FAたぶん次も勝てそうな相手で良かった,-4
10,ウォーカー無料みたいなもんじゃないの 功労者に華道を飾ることで次からクラブを選ばれやすくなる 半年しか活躍してないのに高杉とか言ってたアホもおったが,4
11,ウォーカー来んのか,-4
12,ラッシュにウォーカーか震えてくるな,-1
13,ウォーカー冗談かと思ってたらガチなのか 補強ポイントそこなのか,-4
14,まあシティが移籍金0にしたから来るんじゃないかなウォーカーも冬に出ていくと 表明してるし既にミランと契約合意と出てる 噂レベルじゃないよ( ・ω・),-3
15,ラッシュフォードみたいな選手はなんだかんだいっぱいいるけどウォーカーみたいな出物は滅多にないって感じかな 衰えが見えるが経験・実力って意味では理解できる ただ若干ボヌッチのときを思い出しちゃうんだよな,-4
16,セリエに適応出来るかは置いといて守備陣にベテラン置くなら右サイドバックしかないのはあるな左サイドバックはテオいるのとヒメレス伸びてきてるから出場機会奪いたくないし センターバックは今はトモリ優先だがガッビアがある程度計算できるというか身体能力以外ならトモリより上に見る人もいるだろうし,-4
17,ウォーカーさんのほうが先に決まりの雰囲気やね,-4
18,イングランド人派閥ができてそれが良い影響をもたらすのかそうじゃないのか ラッシュフォードとか環境を変えたところでイングランド人同士でのみつるんだりとか夜の街でウェーイしそうで怖いわ あと家庭内のいざこざで単身赴任で来そうなウォーカーがそれに加わらんといいが,-3
19,ウォーカーさんは妻と子供とイタリアに引っ越して夫婦関係を修復したいみたい,-4
1,フォーデンきたー,-4
2,きたあああああああああああ,-4
3,フォーデンやったーーーーー,-4
4,もうデ・ブライネほんとすき,-4
5,やっぱデ・ブライネいないと始まらないわ,-3
6,デ・ブライネもキレ戻ってきたからほんと嬉しい どうにかもう一点,-4
7,今試合間隔あって後半も走れるからどうにかできてるけどこれから間隔詰まってきたらまた上手くいかなくなるんかな,4
8,例年なら怪我人戻ってきたりするし今年は冬に補強もしたから選手増えるしまた伸びるんじゃない 怪我人増えず新戦力が使える前提だけども,-4
9,デ・ブライネさんもう2年くらい居てくれませんかね そしてギュンドアン来たか,-4
10,ギュンドアン出して大丈夫かな怖いよ,4
11,やっぱコバチ下げるかーーー 今日も地道に守備してくれてたんだけどなー,0
12,またキターーー,-3
13,フォーデンも復活キタ(゚゚),-4
14,追加点やったー 左ヴィーニョもフォーデンもナイス,-4
15,ブレントフォードキラーフォーデン,-4
16,そういや前回のアウェーではハット決めてたんだっけか,-4
17,あーやられた,4
18,後10分粘ってよ,-3
19,緩いなぁ,2
20,まーこんだけ振られたらキツイわ,3
21,サヴィーニョさんまたエゴ出てきてますよ,-4
22,でも利き足で前空いたら打っちゃうと思うわ,-4
23,サヴィーニョとかいうハーランド最大の敵,-4
24,何回アシストしてくれたと思ってんだ,-4
25,うわーーー,4
26,えー追いつかれるんかい,4
27,決められる時に決めないから,-1
28,アケすごすぎ,-4
29,アケとかいう神,-4
30,まあここまで出来ただけでもマシになってきてるのかな お疲れ,4
31,もったいない試合だわ,4
32,しかしブレントフォードのカウンターは怖いね,4
33,勝てる試合だったけどなー 意味がわからん,4
34,サヴィーニョのエゴのせいで勝てなかった,4
35,でもサヴィーニョのエゴのおかげで2点目が入ったんだぞ,-4
36,他に素直に出せばってのが2つくらいあったから ヌネスも切り替え狙わなければってのもあったし サッカーは難しい,3
37,最後のキープにコバチがいてくれたら てか日程的にも今日が一番体力あって割とメンバー揃ってたのに勝てないってもう4位も厳しいだろ,4
38,ここ最近歯車が噛み合わなくなってるな,4
39,年末の状態に比べればずっと良くなってると思う,-4
40,20から追いつかれるとかシティのサッカーじゃねぇと思ったが CLでフェイエに30から追いつかれてたんだった,1
41,この流れクロップリバプールで見たわ 高齢化で細かいミス増えて後ろに膨大なスペースあるから突かれて永遠と負け続ける このサッカーしたいならスカッドの入れ替え必須だよ,-3
42,ギュンドアン出さなければ逃げ切れたかもしれん 知らんけど,1
43,直接的には関わってないしなんならビッグチャンスも作ってたけどね これまでの怠慢プレーの数々で印象悪いのは仕方ないが,4
